precinct;gender;nationality;category;num
6;Женский;Финны;Грамотные;1
6;Женский;Греки;Грамотные;0
6;Женский;Шведы;Грамотные;7
6;Женский;Грузины;Грамотные;0
6;Женский;Белоруссы;Грамотные;0
6;Женский;Французы;Грамотные;1
6;Женский;Словаки;Грамотные;0
6;Женский;Латыши;Грамотные;0
6;Женский;Англичане;Грамотные;0
6;Женский;Чуваши;Грамотные;0
6;Женский;Зыряне;Грамотные;0
6;Женский;Литвины;Грамотные;2
6;Женский;Хивинцы;Грамотные;0
5;Женский;Русские;Грамотные;940
5;Женский;Татары;Грамотные;123
5;Женский;Армяне;Грамотные;464
5;Женский;Евреи;Грамотные;22
5;Женский;Немцы;Грамотные;60
5;Женский;Персы;Грамотные;16
5;Женский;Поляки;Грамотные;16
5;Женский;Туркмены;Грамотные;0
5;Женский;Киргизы;Грамотные;0
5;Женский;Калмыки;Грамотные;0
5;Женский;Мордвины;Грамотные;0
5;Женский;Финны;Грамотные;0
5;Женский;Греки;Грамотные;0
5;Женский;Шведы;Грамотные;0
5;Женский;Грузины;Грамотные;0
5;Женский;Белоруссы;Грамотные;0
5;Женский;Французы;Грамотные;1
5;Женский;Словаки;Грамотные;0
5;Женский;Латыши;Грамотные;0
5;Женский;Англичане;Грамотные;1
5;Женский;Чуваши;Грамотные;0
5;Женский;Зыряне;Грамотные;0
5;Женский;Литвины;Грамотные;2
5;Женский;Хивинцы;Грамотные;0
4;Женский;Русские;Грамотные;1960
4;Женский;Татары;Грамотные;16
4;Женский;Армяне;Грамотные;149
4;Женский;Евреи;Грамотные;7
4;Женский;Немцы;Грамотные;38
4;Женский;Персы;Грамотные;3
4;Женский;Поляки;Грамотные;41
4;Женский;Туркмены;Грамотные;0
4;Женский;Киргизы;Грамотные;0
4;Женский;Калмыки;Грамотные;0
4;Женский;Мордвины;Грамотные;0
4;Женский;Финны;Грамотные;0
4;Женский;Греки;Грамотные;0
4;Женский;Шведы;Грамотные;0
4;Женский;Грузины;Грамотные;0
4;Женский;Белоруссы;Грамотные;0
4;Женский;Французы;Грамотные;5
4;Женский;Словаки;Грамотные;1
4;Женский;Латыши;Грамотные;0
4;Женский;Англичане;Грамотные;0
4;Женский;Чуваши;Грамотные;0
4;Женский;Зыряне;Грамотные;0
4;Женский;Литвины;Грамотные;0
4;Женский;Хивинцы;Грамотные;0
3;Женский;Русские;Грамотные;1584
3;Женский;Татары;Грамотные;12
3;Женский;Армяне;Грамотные;17
3;Женский;Евреи;Грамотные;10
3;Женский;Немцы;Грамотные;84
3;Женский;Персы;Грамотные;0
3;Женский;Поляки;Грамотные;11
3;Женский;Туркмены;Грамотные;0
3;Женский;Киргизы;Грамотные;0
3;Женский;Калмыки;Грамотные;0
3;Женский;Мордвины;Грамотные;7
3;Женский;Финны;Грамотные;4
3;Женский;Греки;Грамотные;1
3;Женский;Шведы;Грамотные;3
3;Женский;Грузины;Грамотные;2
3;Женский;Белоруссы;Грамотные;0
3;Женский;Французы;Грамотные;1
3;Женский;Словаки;Грамотные;0
3;Женский;Латыши;Грамотные;0
3;Женский;Англичане;Грамотные;0
3;Женский;Чуваши;Грамотные;0
3;Женский;Зыряне;Грамотные;0
3;Женский;Литвины;Грамотные;0
3;Женский;Хивинцы;Грамотные;0
2;Женский;Русские;Неграмотные;2101
2;Женский;Татары;Неграмотные;97
2;Женский;Армяне;Неграмотные;228
2;Женский;Евреи;Неграмотные;478
2;Женский;Немцы;Неграмотные;60
2;Женский;Персы;Неграмотные;5
2;Женский;Поляки;Неграмотные;9
2;Женский;Туркмены;Неграмотные;0
2;Женский;Киргизы;Неграмотные;0
2;Женский;Калмыки;Неграмотные;0
2;Женский;Мордвины;Неграмотные;0
